num_elements,active_ratio,num_active_elements,mean_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_active_amplitude
8.0,0.0,0.0,11.31624748322202,11.30704503802785,11.325449928416184,1.0
8.0,0.125,1.0,11.181808049717787,11.24155722201619,11.12205887741939,2.9966090625621775
8.0,0.25,2.0,11.200604043948069,11.202334228670368,11.198873859225763,2.948947504057269
8.0,0.5,4.0,11.29552248146057,11.286766805462628,11.304278157458512,2.5759030489933603
16.0,0.0,0.0,13.362851903992315,13.382044576545459,13.343659231439167,1.0
16.0,0.125,2.0,12.592472899116665,12.565599219339392,12.619346578893937,2.873677190259163
16.0,0.25,4.0,12.480175210072895,12.485541457287995,12.474808962857797,2.3854044360411675
16.0,0.5,8.0,12.479705496809055,12.477354274926903,12.48205671869121,1.8036238360921453
32.0,0.0,0.0,15.288288599275154,15.28846086277647,15.288116335773841,1.0
32.0,0.125,4.0,13.986111178584059,13.989020449273637,13.98320190789448,2.192619314902924
32.0,0.25,8.0,13.927613580640466,13.928042495589475,13.927184665691462,1.6421577055500631
32.0,0.5,16.0,13.6889134862791,13.692412193967739,13.685414778590458,1.2724250756176638
64.0,0.0,0.0,17.2636735354912,17.253139466585843,17.274207604396555,1.0
64.0,0.125,8.0,15.610696903757841,15.616376197212482,15.6050176103032,1.5420792125041993
64.0,0.25,16.0,15.466652593175981,15.466125288977542,15.467179897374422,1.1466114595893198
64.0,0.5,32.0,14.955443344049478,14.952072978424967,14.958813709673983,1.0001216522600478
