episode,environment_step,episode_return,episode_length
1,16,-1.0744914171004112,16
2,32,-3.850695045573196,16
3,48,-29.12931454933154,16
4,64,-38.24261903913871,16
5,80,-20.2956426049738,16
6,96,-33.09707204895249,16
7,112,-28.58430021087659,16
8,128,-2.4645495980492655,16
9,144,-16.94916955738991,16
10,160,-33.24071424436433,16
11,176,-40.22914554814917,16
12,192,0.5118271872743665,16
13,208,-13.504575769159992,16
14,224,-60.628841472930155,16
15,240,-26.776120169508292,16
16,256,-44.16693944150939,16
17,272,-7.207187383766218,16
18,288,-61.57055584537233,16
19,304,-67.81721401509938,16
20,320,-58.092832208740205,16
21,336,-1.1028110005361706,16
22,352,-38.54648534784396,16
23,368,-50.52027199323703,16
24,384,-53.54379947641532,16
25,400,-6.29534279453523,16
26,416,-46.81970753391773,16
27,432,-2.597117846683589,16
28,448,-38.00600655447405,16
29,464,-32.17323519441477,16
30,480,-70.40886023799433,16
31,496,-73.46954837922031,16
32,512,-28.01500758784355,16
33,528,-58.26305199366368,16
34,544,-33.68162694334545,16
35,560,-0.6145455995252829,16
36,576,-38.89412145621125,16
37,592,-62.83656342541962,16
38,608,-51.24367062795967,16
39,624,-4.42186559092571,16
40,640,3.081392533554056,16
41,656,-31.235806045489003,16
42,672,-3.7760760287376893,16
43,688,6.3195183628753355,16
44,704,-35.93671109034591,16
45,720,-19.77284637508271,16
46,736,-6.428163099575672,16
47,752,-1.405305928442953,16
48,768,-45.28658283058198,16
49,784,-18.33579485134846,16
50,800,5.355796039378492,16
51,816,4.284590605235708,16
52,832,-2.2114480381292907,16
53,848,0.5109006147955735,16
54,864,-53.43689924899451,16
55,880,-11.693812616618882,16
56,896,-21.694351979897768,16
57,912,-17.712866177955146,16
58,928,5.798556627312503,16
59,944,-11.380694007927726,16
60,960,2.190277579837149,16
61,976,-53.37019971600717,16
62,992,-2.597738075886049,16
63,1008,-22.283117107599292,16
64,1024,-26.854574610171877,16
65,1040,2.606556231468299,16
66,1056,-20.572732805397777,16
67,1072,-26.45372774607349,16
68,1088,-61.24824670277302,16
69,1104,-15.21246306235561,16
70,1120,3.848474426835967,16
71,1136,-27.45287020644328,16
72,1152,-8.434679546141256,16
73,1168,-16.78088173061299,16
74,1184,-70.90293981255572,16
75,1200,-22.33896092182546,16
76,1216,-8.857599679558529,16
77,1232,-41.46223089510575,16
78,1248,-32.00488771208956,16
79,1264,-23.363586011365435,16
80,1280,-34.00259410436619,16
81,1296,-24.137224884988278,16
82,1312,2.4322550345351925,16
83,1328,-33.23381866474207,16
84,1344,-26.96799860455677,16
85,1360,-3.306731237603248,16
86,1376,-28.014081482021034,16
87,1392,-7.7557990659255065,16
88,1408,-12.823297505946794,16
89,1424,-16.82104154521512,16
90,1440,4.70619318104015,16
91,1456,-4.299959346877578,16
92,1472,-47.96445236425755,16
93,1488,-20.94029295159546,16
94,1504,0.5127947061942262,16
95,1520,-5.670769615985057,16
96,1536,-43.645997878352475,16
97,1552,-20.92200844967106,16
98,1568,-47.38835066037104,16
99,1584,-37.20290062230731,16
100,1600,-31.961498248230498,16
101,1616,-34.92271786521192,16
102,1632,-32.50193635545888,16
103,1648,-45.07366225576966,16
104,1664,-44.552588548563804,16
105,1680,-4.332032242012968,16
106,1696,-24.435906923867062,16
107,1712,-11.18514488054652,16
108,1728,-37.59236699229625,16
109,1744,-53.55841785911057,16
110,1760,3.223361366609513,16
111,1776,-26.027535264047355,16
112,1792,-26.206089323422784,16
113,1808,-25.58633372693555,16
114,1824,-32.75837908576209,16
115,1840,-15.142077394817997,16
116,1856,-39.30903328307861,16
117,1872,-35.30635801938253,16
118,1888,-9.131844638448754,16
119,1904,-20.92944640614027,16
120,1920,-69.66691179026577,16
121,1936,-15.08078995207761,16
122,1952,-17.43323613267797,16
123,1968,-53.07735313271955,16
124,1984,-33.35116215720381,16
125,2000,4.5230580732393575,16
