scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
partially_active__no_amplitude_phase_coupling,0,0,1,-3.7423926864335963,3.0123369277056287,3012.3369277056286,0.140625,0.935964842804077,42.59038622565096,-3.7423926864335963,-3.713712864474698,-3.7710725083924945,-3.7710725083924945,28.20009854399854,0.0,8.0,0.2749551395319694,1.0
partially_active__no_amplitude_phase_coupling,0,0,2,-2.624302224349919,3.7664883028831255,3766.4883028831255,0.09375,0.9530254952853694,32.9610335101579,-2.624302224349919,-2.6181626756150456,-2.6304417730847924,-2.6304417730847924,23.550279588957906,0.0,8.0,0.22947913798311093,1.0
partially_active__no_amplitude_phase_coupling,0,0,3,-2.488664941396066,3.9665251552022838,3966.5251552022837,0.109375,0.9664900008248936,31.55884363855933,-2.488664941396066,-2.482593034868874,-2.4947368479232583,-2.4947368479232583,23.05005133496403,0.0,8.0,0.2023151849532293,1.0
partially_active__no_amplitude_phase_coupling,0,0,4,-2.9227856166973867,3.0973496504199733,3097.3496504199734,0.109375,0.9396851582811867,35.01281043988579,-2.9227856166973867,-2.905117733588785,-2.9404534998059884,-2.9404534998059884,26.455238932454268,0.0,8.0,0.23177057568921924,1.0
partially_active__no_amplitude_phase_coupling,0,0,5,-2.2898329595563176,3.0973145790891627,3097.3145790891626,0.171875,0.9358680248411209,27.494624996864392,-2.2898329595563176,-2.264118889755673,-2.3155470293569627,-2.3155470293569627,25.520158261315693,0.0,8.0,0.18158791613263825,1.0
partially_active__no_amplitude_phase_coupling,0,0,6,-2.635553296559574,2.9336116318306567,2933.6116318306567,0.171875,0.9033382235195138,30.544432432563706,-2.635553296559574,-2.6179436248055996,-2.653162968313548,-2.653162968313548,23.009529460832653,0.0,8.0,0.1883088550174269,1.0
partially_active__no_amplitude_phase_coupling,0,0,7,-3.250295267843555,3.118050086849151,3118.0500868491513,0.140625,0.9403546472105344,37.6547832014092,-3.250295267843555,-3.235844547836371,-3.264745987850738,-3.264745987850738,24.909546904180424,0.0,8.0,0.2533973390513226,1.0
partially_active__no_amplitude_phase_coupling,0,0,8,-3.792421192512824,3.2596374784554127,3259.6374784554127,0.140625,0.9456390082342763,43.351589307783954,-3.792421192512824,-3.7672167062099318,-3.817625678815716,-3.817625678815716,27.72815285792375,0.0,8.0,0.3218052153760722,1.0
partially_active__no_amplitude_phase_coupling,0,0,9,-2.4497107764712514,3.446139730076319,3446.139730076319,0.09375,0.9528585455684946,30.947672652176745,-2.4497107764712514,-2.438197533516707,-2.4612240194257953,-2.4612240194257953,24.780329076270164,0.0,8.0,0.20837907077372986,1.0
partially_active__no_amplitude_phase_coupling,0,0,10,-2.7191702243282787,3.696633867849627,3696.633867849627,0.1875,0.9594221103134357,32.33333440243426,-2.7191702243282787,-2.6793814503548115,-2.7589589983017455,-2.7589589983017455,27.38015660861931,0.0,8.0,0.20287085378166203,1.0
partially_active__no_amplitude_phase_coupling,0,0,11,-2.48213018461389,3.5464677173932526,3546.4677173932528,0.09375,0.9561870533094003,31.2994738380908,-2.48213018461389,-2.479553283812726,-2.484707085415055,-2.484707085415055,23.839335459889043,0.0,8.0,0.18490728110292406,1.0
