episode,environment_step,episode_return,episode_length
1,16,-15.923358808661733,16
2,32,-3.350042477147552,16
3,48,-24.998147985872954,16
4,64,-7.529869908920254,16
5,80,-10.887119544037906,16
6,96,-50.47688750944481,16
7,112,-34.73248966263469,16
8,128,-47.28958715141611,16
9,144,3.19092279063992,16
10,160,6.686536552953799,16
11,176,-25.905747468321564,16
12,192,-22.777755339356425,16
13,208,-38.08329190214968,16
14,224,4.485330664035003,16
15,240,-26.82447324765039,16
16,256,-17.349122150707164,16
17,272,-29.463790258118905,16
18,288,-3.335111724446676,16
19,304,-35.246777266249396,16
20,320,-48.84267027393607,16
21,336,-50.05756950723153,16
22,352,-29.01899725235682,16
23,368,-10.752270342381284,16
24,384,-31.508775535774266,16
25,400,2.7265207637727467,16
26,416,-31.74171945706673,16
27,432,-2.5569230651490678,16
28,448,4.759554761958889,16
29,464,-10.241246302496025,16
30,480,-4.649885876497165,16
31,496,6.213962653960079,16
32,512,-54.224227263781614,16
33,528,-53.220241477287175,16
34,544,-68.08011857865623,16
35,560,-53.23247573362356,16
36,576,5.59281259171881,16
37,592,-4.529793454518909,16
38,608,-52.214485370545034,16
39,624,-30.6638536271767,16
40,640,-37.4688931771285,16
41,656,-39.09259261336666,16
42,672,-34.59918685619314,16
43,688,0.8719604293990838,16
44,704,-55.93711009844863,16
45,720,3.7158656666479053,16
46,736,-47.99381050682297,16
47,752,-52.29933841162945,16
48,768,2.600595521207584,16
49,784,-3.1594278222703815,16
50,800,-56.91550660248596,16
51,816,-26.84994276408972,16
52,832,-13.662557110384478,16
53,848,-37.05019747318327,16
54,864,0.2555221241159065,16
55,880,-9.861215332573588,16
56,896,-52.07942294507395,16
57,912,-27.54618953215863,16
58,928,-54.621614288032944,16
59,944,-50.50327082102665,16
60,960,5.639986375803762,16
61,976,-35.71410016671358,16
62,992,-26.230317535393638,16
63,1008,-58.42374772606588,16
64,1024,-8.29036182536293,16
65,1040,-34.19663347008573,16
66,1056,-46.081242608651344,16
67,1072,-10.254979687842768,16
68,1088,0.3856354954956233,16
69,1104,-43.89047427923769,16
70,1120,2.8605273600930285,16
71,1136,-23.850995826775545,16
72,1152,-48.07449016826736,16
73,1168,-64.02272369056834,16
74,1184,-51.78920552746108,16
75,1200,-11.70955155884441,16
76,1216,-46.09629016786475,16
77,1232,-36.87931537572237,16
78,1248,-33.92239190811671,16
79,1264,3.3524512204941495,16
80,1280,-60.522609745348326,16
81,1296,-55.75622170227422,16
82,1312,-23.25944126732358,16
83,1328,-17.249284239823957,16
84,1344,-40.11312409637462,16
85,1360,-34.90153258019336,16
86,1376,-20.78885685584092,16
87,1392,-27.6960065846976,16
88,1408,-39.2000644052086,16
89,1424,-3.12181662184224,16
90,1440,7.678435849801355,16
91,1456,-61.183429715362884,16
92,1472,-1.0957430031603819,16
93,1488,-26.638338364202585,16
94,1504,-32.68253196654338,16
95,1520,-60.90445324196823,16
96,1536,-2.8750731569159527,16
97,1552,0.9233937682527622,16
98,1568,-6.791833239511609,16
99,1584,-55.1224216418731,16
100,1600,-1.1716653719137242,16
101,1616,-32.326028930316596,16
102,1632,-0.3176061141102028,16
103,1648,-26.060903289390183,16
104,1664,-27.384742801530713,16
105,1680,-38.79729668832637,16
106,1696,-4.781674516163193,16
107,1712,-7.921968487976171,16
108,1728,-25.66077101571796,16
109,1744,-11.414331902289819,16
110,1760,-14.36456026907028,16
111,1776,-34.396171072315944,16
112,1792,-37.21630064299326,16
113,1808,3.703710325977417,16
114,1824,-12.581049885598496,16
115,1840,-78.41482055892003,16
116,1856,-26.948671657610685,16
117,1872,-34.402567269723434,16
118,1888,-39.127381027200975,16
119,1904,-44.853848568561205,16
120,1920,-23.855967259442476,16
121,1936,-49.19390876212461,16
122,1952,-2.6317299825496487,16
123,1968,-70.55245694552116,16
124,1984,-25.64025399607017,16
125,2000,-65.40618635564502,16
