episode,environment_step,episode_return,episode_length
1,16,-5.934475658236929,16
2,32,-1.953835676659003,16
3,48,-37.819418220125534,16
4,64,-30.39843820470111,16
5,80,4.468382814988457,16
6,96,-33.307266788019135,16
7,112,-48.131690137382094,16
8,128,-41.467415408327476,16
9,144,-15.474664305858225,16
10,160,-24.680690843807874,16
11,176,-13.203177723701224,16
12,192,-23.97766702477005,16
13,208,4.955933467407544,16
14,224,-40.784283927914665,16
15,240,7.085734840969284,16
16,256,3.9652692923586392,16
17,272,5.345482708522436,16
18,288,-31.304622441706467,16
19,304,-20.674109590755265,16
20,320,-1.8326675438186977,16
21,336,-29.457247365770677,16
22,352,3.695703357680479,16
23,368,-22.290740904188166,16
24,384,-2.1901331614301336,16
25,400,-62.16605928933204,16
26,416,-39.4914335338011,16
27,432,3.1922370622658747,16
28,448,4.705868007626033,16
29,464,-30.455795650562944,16
30,480,-32.655998213596675,16
31,496,-19.2441754437828,16
32,512,-11.78646741792488,16
33,528,1.276995687399509,16
34,544,-39.90711504088511,16
35,560,-28.871286392789454,16
36,576,-28.023605811492004,16
37,592,-58.31211075029279,16
38,608,-43.7897551720616,16
39,624,-18.921161177715973,16
40,640,3.544871013583764,16
41,656,-27.543587596408706,16
42,672,-29.246841562657934,16
43,688,-12.1552563323606,16
44,704,-17.18252713444174,16
45,720,2.6934503645391756,16
46,736,-7.159866764086701,16
47,752,-14.25987721893049,16
48,768,-26.74828471803227,16
49,784,-62.023007953185115,16
50,800,-13.13636492517447,16
51,816,-7.672253357470877,16
52,832,-35.60964704639076,16
53,848,-18.63615278145064,16
54,864,-17.40266464720702,16
55,880,4.235763184371734,16
56,896,-59.6897294206812,16
57,912,-2.0886845273674814,16
58,928,-31.778767381373047,16
59,944,6.65284673912743,16
60,960,5.61718985968594,16
61,976,6.428556553546256,16
62,992,-53.69474029402912,16
63,1008,-41.49432415292582,16
64,1024,4.85625294733971,16
65,1040,-25.879661791897583,16
66,1056,-7.940160664303089,16
67,1072,-4.147783390309767,16
68,1088,-27.74218997469827,16
69,1104,5.4221216559498275,16
70,1120,-44.132703688020015,16
71,1136,-23.7124135893482,16
72,1152,-9.73240353154823,16
73,1168,-22.396432086825985,16
74,1184,-15.311538794106449,16
75,1200,0.138981887785399,16
76,1216,-10.575011939991022,16
77,1232,-28.78539327108619,16
78,1248,-23.3231266449652,16
79,1264,-11.158412933655843,16
80,1280,-17.12744410974023,16
81,1296,-8.357975217008725,16
82,1312,-8.246503432736365,16
83,1328,-39.52381988013397,16
84,1344,-40.231620900922906,16
85,1360,-40.340600399795974,16
86,1376,-18.882552105104224,16
87,1392,-4.078818004112516,16
88,1408,3.332663129856254,16
89,1424,-34.893376453297606,16
90,1440,-64.37480354204178,16
91,1456,-24.15154036610845,16
92,1472,-4.648227359175079,16
93,1488,-19.131937578360798,16
94,1504,-0.08212335990135844,16
95,1520,-10.98581792979218,16
96,1536,-26.41361130571844,16
97,1552,-29.25341798105019,16
98,1568,0.5175305355019717,16
99,1584,-50.8872838067976,16
100,1600,-46.13713802020334,16
101,1616,-57.522174708667,16
102,1632,-2.407898615761028,16
103,1648,-57.9194796313863,16
104,1664,-38.2513898622935,16
105,1680,-11.473389497573995,16
106,1696,-21.503717328487998,16
107,1712,6.757876171245577,16
108,1728,-25.723538775235944,16
109,1744,-18.21854218862664,16
110,1760,-20.019743349089577,16
111,1776,-31.001599674729945,16
112,1792,-5.025014131311992,16
113,1808,-9.32008252473677,16
114,1824,-59.434006363129825,16
115,1840,-47.271806591893245,16
116,1856,3.905680129642711,16
117,1872,-27.16571055406674,16
118,1888,-45.960582065206495,16
119,1904,-55.921512437586166,16
120,1920,-34.57352862336722,16
121,1936,-5.536401637640826,16
122,1952,-35.91792726076295,16
123,1968,2.857087677996895,16
124,1984,-9.800126866384609,16
125,2000,-27.200536117901457,16
