scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
partially_active__no_hardware_mismatch,0,0,1,-0.9788997342799328,3.358859278239783,3358.859278239783,0.109375,0.9500088597725844,15.786934259527783,-0.9788997342799328,-0.971246400317358,-0.9865530682425078,-0.9865530682425078,18.482126137905162,0.0,8.0,0.27500715298151446,1.0
partially_active__no_hardware_mismatch,0,0,2,-1.159146436278348,3.405429475123597,3405.429475123597,0.09375,0.9501972107227066,17.932125606152578,-1.159146436278348,-1.1532218648151509,-1.165071007741545,-1.165071007741545,18.437253345344132,0.0,8.0,0.317931626446743,1.0
partially_active__no_hardware_mismatch,0,0,3,-1.3141305441787967,3.2221018990956374,3222.1018990956372,0.171875,0.9417056808864935,17.738490202843494,-1.3141305441787967,-1.3037250984260547,-1.324535989931539,-1.324535989931539,19.855596314515946,0.0,8.0,0.3459890833658427,1.0
partially_active__no_hardware_mismatch,0,0,4,-1.555025287528588,2.588189204173493,2588.189204173493,0.203125,0.9120394186571272,19.016284689278642,-1.555025287528588,-1.5170107358752247,-1.5930398391819511,-1.5930398391819511,19.788868456031825,0.0,8.0,0.4162976755512133,1.0
partially_active__no_hardware_mismatch,0,0,5,-1.3585037477009905,2.6732444698415536,2673.244469841554,0.125,0.9129952708063349,18.508663262772018,-1.3585037477009905,-1.3399632515121018,-1.3770442438898791,-1.3770442438898791,16.79345607852458,0.0,8.0,0.4929118345241607,1.0
partially_active__no_hardware_mismatch,0,0,6,-1.743639882293508,3.6247547468285077,3624.754746828508,0.15625,0.9415326499314358,22.72151801458493,-1.743639882293508,-1.735869762777092,-1.7514100018099241,-1.7514100018099241,23.320135880425873,0.0,8.0,0.453923810397646,1.0
partially_active__no_hardware_mismatch,0,0,7,-1.1298319405057264,3.4576268667233965,3457.6268667233967,0.125,0.9477137206996019,17.10800351111052,-1.1298319405057264,-1.1184830769225413,-1.1411808040889115,-1.1411808040889115,17.503014394590743,0.0,8.0,0.41551789545169376,1.0
partially_active__no_hardware_mismatch,0,0,8,-1.4459373778068723,2.357886806338002,2357.886806338002,0.203125,0.8769535838748259,17.351899894148186,-1.4459373778068723,-1.4247002387701393,-1.4671745168436054,-1.4671745168436054,18.751511030685887,0.0,8.0,0.41080222665089733,1.0
partially_active__no_hardware_mismatch,0,0,9,-1.5405932169838343,2.586058929070921,2586.058929070921,0.140625,0.8868575682209497,19.678691917137847,-1.5405932169838343,-1.5341019192714507,-1.5470845146962178,-1.5470845146962178,19.704826237820967,0.0,8.0,0.4325555929170168,1.0
partially_active__no_hardware_mismatch,0,0,10,-0.7140469563942915,2.309905639205468,2309.905639205468,0.140625,0.8916723240956009,11.197485946006077,-0.7140469563942915,-0.7039220441563223,-0.7241718686322606,-0.7241718686322606,19.84529487759838,0.0,8.0,0.206057569330966,1.0
partially_active__no_hardware_mismatch,0,0,11,-1.3346529049883138,3.020982901750794,3020.982901750794,0.140625,0.9226850321842899,18.474341208000986,-1.3346529049883138,-1.3040624954437532,-1.3652433145328744,-1.3652433145328744,21.75166936423209,0.0,8.0,0.3515569881690522,1.0
partially_active__no_hardware_mismatch,0,0,12,-0.7909065804037334,3.343692020913421,3343.692020913421,0.171875,0.9473604612087632,12.803776305375532,-0.7909065804037334,-0.765734962965637,-0.8160781978418297,-0.8160781978418297,18.14839205124121,0.0,8.0,0.23712524385615888,1.0
partially_active__no_hardware_mismatch,0,0,13,-0.504377134757684,3.282822428923175,3282.8224289231753,0.140625,0.9081549084420033,10.072976724149116,-0.504377134757684,-0.5025662942137754,-0.5061879753015925,-0.5061879753015925,16.51349729790553,0.0,8.0,0.19515649669511492,1.0
partially_active__no_hardware_mismatch,0,0,14,-0.5423951611868203,2.2381822267156135,2238.1822267156135,0.171875,0.8812744620369733,8.892196001317906,-0.5423951611868203,-0.5162761759318979,-0.5685141464417427,-0.5685141464417427,17.817424463761938,0.0,8.0,0.1542010804418643,1.0
partially_active__no_hardware_mismatch,0,0,15,-0.7952889848030857,3.0342908876643166,3034.290887664317,0.109375,0.9330845146793011,13.491429808885561,-0.7952889848030857,-0.7926563348236975,-0.797921634782474,-0.797921634782474,19.652263391410752,0.0,8.0,0.2270651297314965,1.0
partially_active__no_hardware_mismatch,0,0,16,-1.2942483408307681,3.144292303586089,3144.292303586089,0.15625,0.9409274665091805,17.864855373332055,-1.2942483408307681,-1.2744041079415296,-1.3140925737200064,-1.3140925737200064,21.76590687721144,0.0,8.0,0.2908003855964385,1.0
partially_active__no_hardware_mismatch,0,1,1,-0.9346955277562757,3.4640248683829915,3464.0248683829914,0.046875,0.9503772455436854,16.64611010618023,-0.9346955277562757,-0.9326211545046701,-0.9367699010078814,-0.9367699010078814,17.676039949677666,0.0,8.0,0.3319270919669368,1.0
partially_active__no_hardware_mismatch,0,1,2,-1.0620936662976193,3.0225754848763327,3022.5754848763327,0.1875,0.9350775225763827,14.854172566307037,-1.0620936662976193,-1.033566385740359,-1.0906209468548793,-1.0906209468548793,18.676721699827226,0.0,8.0,0.26989488911809517,1.0
partially_active__no_hardware_mismatch,0,1,3,-1.2679619670655833,2.8021916167342864,2802.1916167342865,0.203125,0.9234927783192232,16.125243951524855,-1.2679619670655833,-1.2591150898117212,-1.2768088443194452,-1.2768088443194452,18.086437810734946,0.0,8.0,0.2500327027665548,1.0
partially_active__no_hardware_mismatch,0,1,4,-0.9678691738412302,2.317220038139567,2317.220038139567,0.1875,0.8867097774625027,13.107076994032687,-0.9678691738412302,-0.9251075408243997,-1.0106308068580607,-1.0106308068580607,18.07569226689077,0.0,8.0,0.23571391951943968,1.0
partially_active__no_hardware_mismatch,0,1,5,-1.6394853151847124,2.372359802944996,2372.3598029449963,0.203125,0.8982208050491456,19.570142343508813,-1.6394853151847124,-1.6020527788376158,-1.676917851531809,-1.676917851531809,24.193895857694336,0.0,8.0,0.24540324486941784,1.0
partially_active__no_hardware_mismatch,0,1,6,-1.252369753334896,2.7723998073560976,2772.3998073560974,0.109375,0.9187639573706512,17.93117098357824,-1.252369753334896,-1.2294943677329035,-1.2752451389368888,-1.2752451389368888,22.332150093056313,0.0,8.0,0.26513602640508616,1.0
partially_active__no_hardware_mismatch,0,1,7,-1.8418211705875849,1.3119546757910878,1311.9546757910878,0.234375,0.7440860650123539,18.903084183588863,-1.8418211705875849,-1.827822422901569,-1.8558199182736006,-1.8558199182736006,20.655591710381373,0.0,8.0,0.31376616553074566,1.0
partially_active__no_hardware_mismatch,0,1,8,-1.0402945106529755,2.8279532238796583,2827.9532238796583,0.15625,0.9253644794181555,14.794312443483056,-1.0402945106529755,-1.0341353390546888,-1.0464536822512622,-1.0464536822512622,18.340476498541918,0.0,8.0,0.26825612897206574,1.0
partially_active__no_hardware_mismatch,0,1,9,-1.3539710768580178,1.994556623111249,1994.556623111249,0.21875,0.8654087247008793,16.112732721411785,-1.3539710768580178,-1.2913289062364217,-1.416613247479614,-1.416613247479614,20.029237011983447,0.0,8.0,0.27261534305096236,1.0
