episode,environment_step,episode_return,episode_length
1,16,-15.717065030644935,16
2,32,1.1054944611286355,16
3,48,-9.522965540385549,16
4,64,-32.444354334450864,16
5,80,-51.16095424105784,16
6,96,-4.297783427165584,16
7,112,1.4937228520481258,16
8,128,-44.434553754088526,16
9,144,5.17876195703257,16
10,160,-42.912984275972704,16
11,176,-52.46007328509644,16
12,192,-19.614212513406013,16
13,208,7.149758797599759,16
14,224,-7.289400427646374,16
15,240,-3.9863162137914507,16
16,256,-13.794576672605107,16
17,272,-10.428816795448318,16
18,288,-57.45589454676123,16
19,304,-29.647190985400897,16
20,320,-35.510868868888,16
21,336,10.015138853539499,16
22,352,-12.392040215405721,16
23,368,-24.431325403152247,16
24,384,-14.51852659487509,16
25,400,-28.337430999611655,16
26,416,8.869390086107305,16
27,432,-10.122898575513048,16
28,448,-16.271066875498004,16
29,464,7.139729205491008,16
30,480,-13.627162309099873,16
31,496,-1.5066303311876794,16
32,512,-38.040815975655306,16
33,528,-40.990458500287204,16
34,544,-17.26357003614595,16
35,560,0.09363897998603618,16
36,576,-7.2582058388153685,16
37,592,3.950680146095418,16
38,608,-35.96078241172771,16
39,624,-33.37481662711296,16
40,640,-25.731484769946427,16
41,656,8.379900722089534,16
42,672,-22.783707369977343,16
43,688,-26.138116801650103,16
44,704,-0.2049048910853499,16
45,720,-4.383668587957276,16
46,736,-33.09849677815315,16
47,752,-47.002761192680794,16
48,768,-16.590466939838304,16
49,784,-39.76961153583212,16
50,800,-26.53366675776734,16
51,816,-54.92439228207961,16
52,832,1.5566621430453873,16
53,848,-37.2705790934542,16
54,864,-25.5631170201915,16
55,880,-54.42485212214746,16
56,896,-24.985934731679833,16
57,912,-61.92763022475888,16
58,928,-24.41146419566123,16
59,944,-7.810576960289156,16
60,960,-38.102004063667856,16
61,976,-7.518506547060666,16
62,992,5.740365892878211,16
63,1008,-48.4632755362072,16
64,1024,-26.119681364766972,16
65,1040,-17.20165680378271,16
66,1056,-28.537042444986604,16
67,1072,-11.935656689165047,16
68,1088,-12.97219573711878,16
69,1104,-16.458518358296377,16
70,1120,-63.136822465307695,16
71,1136,-6.2713303941118115,16
72,1152,-40.9150147277453,16
73,1168,-13.331997355960164,16
74,1184,-36.001439118871524,16
75,1200,-24.32394356554399,16
76,1216,-39.99831825775704,16
77,1232,-8.499064571879417,16
78,1248,-27.239364838919336,16
79,1264,-46.345479494301074,16
80,1280,-11.577369108192753,16
81,1296,-39.71283474527445,16
82,1312,-35.18746227292433,16
83,1328,8.989248576690452,16
84,1344,4.737961190247002,16
85,1360,-35.61573323157225,16
86,1376,-50.00959224145329,16
87,1392,-49.3719341309269,16
88,1408,-52.19127598106061,16
89,1424,-59.20823110657934,16
90,1440,-13.954157452451273,16
91,1456,7.90487997738136,16
92,1472,-30.592727862402437,16
93,1488,-52.323248660681465,16
94,1504,-4.502343543289121,16
95,1520,6.757717038860182,16
96,1536,-17.724103728123502,16
97,1552,-31.40177309534458,16
98,1568,-31.143118898226945,16
99,1584,-2.737856001325991,16
100,1600,5.86740164583613,16
101,1616,6.802493577878128,16
102,1632,-42.06487248543255,16
103,1648,-10.862859249916845,16
104,1664,-13.791791008966163,16
105,1680,-16.773209334963948,16
106,1696,-11.907676033123181,16
107,1712,-19.73889664038479,16
108,1728,-40.85613975939307,16
109,1744,8.581969310557772,16
110,1760,-19.47146942394254,16
111,1776,4.508970944572842,16
112,1792,-5.028314203259838,16
113,1808,7.63507072099196,16
114,1824,-23.80417638738462,16
115,1840,5.25600339056468,16
116,1856,-26.849851559281454,16
117,1872,-36.619213847527426,16
118,1888,-21.04704141279975,16
119,1904,-3.678632047474906,16
120,1920,-0.8940784505706507,16
121,1936,-1.0445674557280655,16
122,1952,-13.59333533257259,16
123,1968,-38.134622553221156,16
124,1984,-20.14967059552861,16
125,2000,-28.320336442497574,16
