scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
partially_active__no_internal_noise,0,0,1,-1.5956173244537881,2.876014469834365,2876.0144698343647,0.15625,0.92803854072071,20.47042021618228,-1.5956173244537881,-1.5833133446331398,-1.6079213042744365,-1.6079213042744365,16.022733626690552,0.0,8.0,0.16387715011473003,1.0
partially_active__no_internal_noise,0,0,2,-2.3051844567750472,4.266641488100857,4266.641488100858,0.078125,0.9681652156957389,30.716200515748827,-2.3051844567750472,-2.2932456186331667,-2.317123294916928,-2.317123294916928,20.046171717429132,0.0,8.0,0.22283456619910164,1.0
partially_active__no_internal_noise,0,0,3,-2.0507696085813194,3.4966273001928903,3496.6273001928903,0.125,0.9494661856573648,26.457431258801623,-2.0507696085813194,-2.0301919141304476,-2.071347303032191,-2.071347303032191,18.234713251852092,0.0,8.0,0.20053842039409153,1.0
partially_active__no_internal_noise,0,0,4,-2.0380417942738607,3.1055720673467833,3105.572067346783,0.140625,0.9400589978973712,25.5629532922506,-2.0380417942738607,-2.019124965006025,-2.0569586235416963,-2.0569586235416963,17.92305697583606,0.0,8.0,0.17842343582838874,1.0
partially_active__no_internal_noise,0,0,5,-1.7029383057181886,3.4202360137831125,3420.2360137831124,0.125,0.9466049419770106,22.764145023649046,-1.7029383057181886,-1.6947881814382892,-1.7110884299980882,-1.7110884299980882,16.287200431070186,0.0,8.0,0.16187704993077104,1.0
partially_active__no_internal_noise,0,0,6,-1.2232350132402685,3.9643865828927405,3964.3865828927405,0.09375,0.9609814776919008,19.33755930118457,-1.2232350132402685,-1.2021434934973043,-1.2443265329832327,-1.2443265329832327,15.678185180946699,0.0,8.0,0.13491618149600618,1.0
partially_active__no_internal_noise,0,0,7,-1.2283481902371123,4.470833674742726,4470.8336747427265,0.109375,0.9753598271109234,19.713007616012217,-1.2283481902371123,-1.2014088999027375,-1.2552874805714873,-1.2552874805714873,16.40660022328182,0.0,8.0,0.13016562924449304,1.0
partially_active__no_internal_noise,0,0,8,-1.9606671056156948,4.26789290150454,4267.8929015045405,0.140625,0.9672752562575675,26.089262115517382,-1.9606671056156948,-1.941584917958889,-1.9797492932725005,-1.9797492932725005,16.99462265300498,0.0,8.0,0.1860711151667255,1.0
partially_active__no_internal_noise,0,0,9,-2.7871386287077087,3.0188346028685302,3018.83460286853,0.15625,0.9058572380226395,32.562871993422775,-2.7871386287077087,-2.760302137371312,-2.813975120044105,-2.813975120044105,20.87681664443937,0.0,8.0,0.21063159893977068,1.0
partially_active__no_internal_noise,0,0,10,-2.1494937592442276,3.5706080077762214,3570.6080077762213,0.125,0.9499996956072256,27.592905987249402,-2.1494937592442276,-2.1217575683447496,-2.1772299501437056,-2.1772299501437056,19.148320199030113,0.0,8.0,0.18834703811552977,1.0
partially_active__no_internal_noise,0,0,11,-1.2889509845110003,4.24260092266955,4242.60092266955,0.125,0.9726537374378965,19.61594231888136,-1.2889509845110003,-1.2768946981197677,-1.301007270902233,-1.301007270902233,16.830927226258428,0.0,8.0,0.12812197985150636,1.0
partially_active__no_internal_noise,0,0,12,-1.592074855968995,4.437690184825699,4437.690184825698,0.09375,0.9764591932143494,23.505899706141136,-1.592074855968995,-1.5780583564136208,-1.6060913555243692,-1.6060913555243692,16.885682572187505,0.0,8.0,0.1537184841500603,1.0
partially_active__no_internal_noise,0,0,13,-1.0965132908116724,3.996081447230254,3996.081447230254,0.0625,0.9620047399060444,18.571927216749316,-1.0965132908116724,-1.0914443746244604,-1.101582206998884,-1.101582206998884,17.291790333392637,0.0,8.0,0.13362853513564857,1.0
partially_active__no_internal_noise,0,0,14,-1.523871629020499,3.216459158282589,3216.459158282589,0.140625,0.9251950612305109,20.407113587063083,-1.523871629020499,-1.510025345778204,-1.5377179122627942,-1.5377179122627942,18.002003078073443,0.0,8.0,0.14752723287343575,1.0
partially_active__no_internal_noise,0,0,15,-1.5905250964136397,3.4824391338043545,3482.4391338043547,0.125,0.9522840302993896,21.723785786184184,-1.5905250964136397,-1.5830575427389912,-1.5979926500882884,-1.5979926500882884,17.41666470872594,0.0,8.0,0.16937399207934095,1.0
partially_active__no_internal_noise,0,0,16,-0.9890487814829689,3.8144643589160205,3814.4643589160205,0.09375,0.9625298659789732,16.830843545752167,-0.9890487814829689,-0.9702245772718097,-1.0078729856941282,-1.0078729856941282,15.639709562054643,0.0,8.0,0.1279167313386189,1.0
