scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
partially_active__no_surface_power_penalty,0,0,1,0.4213834721095132,2.616605627339513,2616.605627339513,0.15625,0.9118960330777413,12.143408704109945,0.4213834721095132,0.43765836494620447,0.4051085792728219,0.4051085792728219,15.203633643980162,0.0,8.0,0.11829762499525362,1.0
partially_active__no_surface_power_penalty,0,0,2,0.5184376318839694,3.494454431653274,3494.4544316532742,0.171875,0.9538437652513896,17.64352405312415,0.5184376318839694,0.5542579379769166,0.48261732579102223,0.48261732579102223,16.142281618614145,0.0,8.0,0.16177754823865423,1.0
partially_active__no_surface_power_penalty,0,0,3,0.606546425386649,3.5261736280392872,3526.1736280392875,0.109375,0.9446981646797612,12.952508763966799,0.606546425386649,0.6068764056294886,0.6062164451438093,0.6062164451438093,14.492416585750773,0.0,8.0,0.11899495615746648,1.0
partially_active__no_surface_power_penalty,0,0,4,0.43924027418884176,2.705903341417841,2705.9033414178407,0.171875,0.9196506296066788,14.82435288918847,0.43924027418884176,0.49181489943256007,0.38666564894512345,0.38666564894512345,15.793607289170957,0.0,8.0,0.12659060219949334,1.0
partially_active__no_surface_power_penalty,0,0,5,0.35889583233120237,2.6409326836210814,2640.932683621081,0.1875,0.9135498958125027,14.949637174765186,0.35889583233120237,0.37192344839404534,0.34586821626835945,0.34586821626835945,17.42290071747054,0.0,8.0,0.1362054374226108,1.0
partially_active__no_surface_power_penalty,0,0,6,0.4337610888989557,2.479581001797671,2479.581001797671,0.140625,0.8982394800041827,12.937174642091657,0.4337610888989557,0.45169433761605293,0.4158278401818585,0.4158278401818585,16.19939989489322,0.0,8.0,0.11887825158551597,1.0
partially_active__no_surface_power_penalty,0,0,7,0.2626977457534799,2.2208427743540162,2220.842774354016,0.203125,0.8734421508675915,19.02500127008676,0.2626977457534799,0.2728401386377626,0.25255535286919734,0.25255535286919734,17.70609565992551,0.0,8.0,0.19162569892110148,1.0
partially_active__no_surface_power_penalty,0,0,8,0.5955135587464933,3.3800081272261906,3380.0081272261905,0.109375,0.9501026755063131,13.941199711388474,0.5955135587464933,0.596724967017211,0.5943021504757756,0.5943021504757756,15.48639891285464,0.0,8.0,0.14066626157603376,1.0
partially_active__no_surface_power_penalty,0,0,9,0.44467900535617055,2.794117943437862,2794.117943437862,0.15625,0.9248418614648762,16.374464816764675,0.44467900535617055,0.46002528563611683,0.42933272507622433,0.42933272507622433,17.21731496030091,0.0,8.0,0.1498992811887195,1.0
partially_active__no_surface_power_penalty,0,0,10,0.4898630922501669,3.187802112773518,3187.8021127735183,0.15625,0.9369330174336856,12.536149469296204,0.4898630922501669,0.5049794645061391,0.47474671999419465,0.47474671999419465,18.880703433913688,0.0,8.0,0.10708149204130485,1.0
