episode,environment_step,episode_return,episode_length
1,16,-16.105414314782404,16
2,32,-3.6742162220405215,16
3,48,-25.246356922885703,16
4,64,-7.726957259538384,16
5,80,-11.187015218212107,16
6,96,-50.86369783557111,16
7,112,-34.98209215336715,16
8,128,-47.59500736128292,16
9,144,2.8877151908506455,16
10,160,6.475728630911448,16
11,176,-26.171126394004407,16
12,192,-23.082903675535707,16
13,208,-38.31030037692532,16
14,224,4.207156484166407,16
15,240,-26.969157657599514,16
16,256,-17.55167675090869,16
17,272,-29.786786729566025,16
18,288,-3.640892503753686,16
19,304,-35.26477143300252,16
20,320,-49.98135130641516,16
21,336,-50.2231700660928,16
22,352,-29.78167312762299,16
23,368,-10.594876054052497,16
24,384,-31.47866459407005,16
25,400,2.266938972030784,16
26,416,-32.552851601314394,16
27,432,-2.633442164624469,16
28,448,4.519466752227755,16
29,464,-10.410636215194119,16
30,480,-4.87312599596146,16
31,496,5.258530462212796,16
32,512,-54.211800084009845,16
33,528,-53.264950263304485,16
34,544,-68.92174776578747,16
35,560,-53.949290474036786,16
36,576,5.312982047655787,16
37,592,-4.352051835209427,16
38,608,-51.89825525091945,16
39,624,-31.704454290873166,16
40,640,-36.44933222519201,16
41,656,-38.05403106563483,16
42,672,-34.63338938130738,16
43,688,0.3530909417647102,16
44,704,-57.69348279884711,16
45,720,3.764083201665585,16
46,736,-50.178897144524655,16
47,752,-46.57484256549335,16
48,768,2.501612533893047,16
49,784,-3.6317465669334297,16
50,800,-54.998752244063695,16
51,816,-26.046400960098016,16
52,832,-14.105299634224355,16
53,848,-34.372265038169026,16
54,864,-1.0321752771350483,16
55,880,-8.798740162318301,16
56,896,-54.75813674030876,16
57,912,-25.685692704296176,16
58,928,-50.64607574758573,16
59,944,-49.67415026414386,16
60,960,5.765835372773875,16
61,976,-35.314207394209106,16
62,992,-23.95429493583116,16
63,1008,-55.39402335749022,16
64,1024,-11.221139007103128,16
65,1040,-40.94421797240426,16
66,1056,-38.40780846863567,16
67,1072,-8.818709260254334,16
68,1088,-0.8113989401130491,16
69,1104,-36.08135728951325,16
70,1120,1.394254370519403,16
71,1136,-25.282504715878776,16
72,1152,-50.22190802382764,16
73,1168,-64.80156164064553,16
74,1184,-49.43738032119014,16
75,1200,-8.585291902966887,16
76,1216,-55.21305295443136,16
77,1232,-42.500339589134214,16
78,1248,-29.80228139760013,16
79,1264,2.866767103613951,16
80,1280,-59.29086411441293,16
81,1296,-56.79769478173616,16
82,1312,-19.78331870814737,16
83,1328,-15.919311744439558,16
84,1344,-33.40232893548426,16
85,1360,-35.887224210432926,16
86,1376,-17.860578724980865,16
87,1392,-28.120740006797522,16
88,1408,-38.348947149760974,16
89,1424,-1.1676004433752245,16
90,1440,8.288002436203628,16
91,1456,-53.626086133470075,16
92,1472,-1.209222344042382,16
93,1488,-26.329753900154742,16
94,1504,-34.78297941829924,16
95,1520,-59.01596293043297,16
96,1536,0.034814003185396486,16
97,1552,0.25435986768622953,16
98,1568,-6.4147509293298635,16
99,1584,-53.56320490379715,16
100,1600,-2.6389178514772293,16
101,1616,-34.3488445193451,16
102,1632,-0.5930362407082032,16
103,1648,-55.071033163661326,16
104,1664,-39.4006814307776,16
105,1680,-47.92918941625041,16
106,1696,-8.463246787847435,16
107,1712,-10.595834013142412,16
108,1728,-37.708128040750644,16
109,1744,-21.181748455635155,16
110,1760,-13.753561606254785,16
111,1776,-15.888723328699188,16
112,1792,-13.669748558355757,16
113,1808,4.635612476255206,16
114,1824,-18.1364894847077,16
115,1840,-30.51459859341018,16
116,1856,-34.81093325830504,16
117,1872,-33.32518496304738,16
118,1888,-31.04430405743555,16
119,1904,-37.89818066896661,16
120,1920,-17.971698285774867,16
121,1936,-40.076350924531035,16
122,1952,-3.802974680109692,16
123,1968,-63.49252560182625,16
124,1984,-23.889437091595944,16
125,2000,-58.60486642988683,16
