episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale,transmission_retained_bits,transmission_mutual_information_ab,transmission_eve_information,transmission_reciprocity,transmission_raw_kdr,transmission_post_reconciliation_kdr,transmission_public_leakage_bits,transmission_finite_penalty_bits,transmission_conditional_min_entropy_bits,transmission_key_margin_bits,transmission_positive_key_margin_probability,transmission_reconciliation_success_probability,transmission_finite_length_secret_bits,transmission_final_key_bits,transmission_final_key_success_probability,transmission_zero_final_key_probability,transmission_secure_key_rate_bps,reflection_retained_bits,reflection_mutual_information_ab,reflection_eve_information,reflection_reciprocity,reflection_raw_kdr,reflection_post_reconciliation_kdr,reflection_public_leakage_bits,reflection_finite_penalty_bits,reflection_conditional_min_entropy_bits,reflection_key_margin_bits,reflection_positive_key_margin_probability,reflection_reconciliation_success_probability,reflection_finite_length_secret_bits,reflection_final_key_bits,reflection_final_key_success_probability,reflection_zero_final_key_probability,reflection_secure_key_rate_bps
0.0,partially_active_dynamic,-0.08881385795060226,-0.059662658504966645,-0.11796505739623786,-0.13937117597625318,0.0,0.0,0.0,0.2969426934866506,0.3682071384553741,0.42092293804419867,0.15024220810432634,0.2182014229893553,0.27983408368946683,0.5910440943225482,0.29400130626150994,0.0,8.0,0.6176010252597193,940.4375,0.5526126911374238,0.11126818608224373,0.5214344874067278,0.3046508863038481,0.15742140432031834,896.4375,170.875,835.5625,-263.75,0.0,0.0,161.375,0.0,0.0,1.0,0.0,940.8125,0.9129410911524405,0.3406639889588179,0.6606537012383686,0.28923450066945305,0.14306301188833428,885.5625,171.0,621.4375,-467.125,0.0,0.0625,262.625,0.0,0.0,1.0,0.0
1.0,partially_active_dynamic,-0.09054881583980745,-0.07347627200510504,-0.10762135967450986,-0.11793217423431375,0.0,0.0,0.0,0.31228822572508086,0.35144175060849797,0.3623215526920815,0.16449645018657463,0.20214673611844006,0.21402092355950025,0.5603400828510496,0.2940017571277452,0.0,8.0,0.8329055220731707,939.375,0.5096720794827676,0.147223877012501,0.5334700624416615,0.31849519453317426,0.17083063154822825,897.8125,170.875,800.6875,-300.0,0.0,0.0,105.8125,0.0,0.0,1.0,0.0,943.5,0.7098428419913168,0.20743111844243234,0.5872101032604378,0.30608125691698757,0.158162268824921,900.1875,171.3125,747.9375,-355.5625,0.0,0.0,214.5625,0.0,0.0,1.0,0.0
2.0,partially_active_dynamic,-0.14748393010726712,-0.12309693494562526,-0.17187092526890901,-0.17940545643999423,0.0,0.0,0.0,0.35395239939827056,0.41203914863693436,0.4314055050979574,0.20662351472469154,0.26416351543143407,0.2865573998677663,0.4163967940307477,0.2940009405263953,0.0,8.0,0.7003027929219563,941.5,0.2462610391172868,0.03672854952355353,0.3742056394097048,0.37343374693509335,0.2225486778491872,912.125,171.0,906.5,-208.625,0.0,0.0,41.9375,0.0,0.0,1.0,0.0,941.6875,0.4113524698134617,0.07675190991411529,0.45858794865179064,0.33447105186144765,0.19069835160019588,876.4375,171.0,868.75,-210.6875,0.0,0.0625,107.1875,0.0,0.0,1.0,0.0
3.0,partially_active_dynamic,-0.04796588472876703,-0.030796411539703805,-0.06513535791783026,-0.07363534516283202,41.185724918863144,0.0,0.0,0.27831936226971943,0.3186616081250323,0.31757489974050485,0.12865257750758574,0.1643433863665702,0.16016243723250093,0.6682243278851502,0.2940016847376046,0.0,8.0,0.49909301193186195,940.3125,0.38433151269005505,0.10242043130031225,0.465154629890128,0.34558431746787943,0.19235647546952728,920.4375,171.0625,843.625,-279.875,0.0,0.0,74.1875,0.0,0.0,1.0,0.0,936.4375,2.0669423042915405,0.3547586646373331,0.8712940258801722,0.21105440707155942,0.06494867954564425,877.0,170.625,612.0,-467.625,0.125,0.125,713.4375,4.1875,0.125,0.875,82.37144983772629
4.0,partially_active_dynamic,-0.09556817056459593,-0.07564006181927281,-0.11549627930991907,-0.13336783822164575,0.0,0.0,0.0,0.3104718501183157,0.3575632271801968,0.36069766143885695,0.1597393423985366,0.20659521895705488,0.2096321928894346,0.5449801915474013,0.29400175069595214,0.0,8.0,0.8692870647112656,940.8125,0.21170093827669123,0.006504805874903675,0.34421913908859625,0.38784845626744757,0.2377563093331826,907.5625,171.0,934.125,-176.4375,0.0,0.0,31.3125,0.0,0.0,1.0,0.0,938.6875,1.2361989499474975,0.36292330471091977,0.7457412440062063,0.23309524396918382,0.0817223754638906,905.9375,170.6875,604.375,-504.25,0.0,0.0625,422.3125,0.0,0.0,1.0,0.0
5.0,partially_active_dynamic,-0.04799113754711819,-0.020981934957150953,-0.07500034013708543,-0.09058895408250812,0.0,0.0,0.0,0.25341161372777155,0.32606409203257203,0.34227336928608115,0.10662303040245225,0.1740405944381352,0.19665786191209922,0.6756200285268128,0.2940013379862773,0.0,8.0,0.6924046767814538,939.25,0.712872623501272,0.07005813881706155,0.5989564405929393,0.27108653717430475,0.12034960882783272,908.875,170.875,872.875,-238.875,0.0,0.0,323.1875,0.0,0.0,1.0,0.0,937.25,1.2731497095305775,0.481869586048835,0.7522836164606863,0.2357366902812384,0.09289645197707178,872.875,170.6875,486.875,-588.6875,0.0,0.125,394.25,0.0,0.0,1.0,0.0
6.0,partially_active_dynamic,-0.002726490283999369,0.017555070843880163,-0.0230080514118789,-0.026024483322242123,77.50940071397102,0.0,0.0,0.2195313765788905,0.2795525843518746,0.2908500115901579,0.08740417300284455,0.13475352163928186,0.15676953471105207,0.7448499561101931,0.29400172160110327,0.0,8.0,0.7396830143774116,942.375,0.7363065656657457,0.16265677747238197,0.6210000505673854,0.3000804367541705,0.15387470481917698,896.9375,171.125,788.75,-311.3125,0.0,0.0,253.1875,0.0,0.0,1.0,0.0,923.25,2.0502222346837984,0.2566001466052028,0.8686998616530008,0.13898231640361047,0.020933641186512097,730.9375,169.3125,687.8125,-244.4375,0.125,0.5625,721.9375,7.875,0.125,0.875,155.01880142794204
7.0,partially_active_dynamic,-0.09214046119877413,-0.06343964155187998,-0.12084128084566828,-0.15848750358315372,68.3349421800201,0.0,0.0,0.29920459825844653,0.37196613964970726,0.40997286675258293,0.15325837014341248,0.22436258387146576,0.26625626250646367,0.5436464769155989,0.29400132023778497,0.0,8.0,0.6726642291170188,941.6875,0.2864373787508858,0.10125906973401466,0.40490925003773415,0.3494120292751315,0.20087405328469693,900.375,171.0,846.1875,-257.1875,0.0,0.0,22.3125,0.0,0.0,1.0,0.0,941.25,0.9992734191177962,0.03018587160536327,0.6823837037934637,0.2489971672417616,0.10564268700212806,878.5,171.0625,912.4375,-169.125,0.0625,0.125,511.8125,6.9375,0.0625,0.9375,136.6698843600402
8.0,partially_active_dynamic,-0.04886914013988776,-0.020882199551006394,-0.07685608072876912,-0.09764288356393708,143.9665058525783,0.0,0.0,0.2834735280551882,0.3431743768668161,0.37976324064510003,0.1367154949167776,0.19307155912414353,0.2268488174042948,0.6792901834811482,0.2940012280489977,0.0,8.0,0.5771300452610904,941.1875,0.6042660214953093,0.08114631967319065,0.5453759021147913,0.29820980731138336,0.15323012021164756,882.4375,170.9375,864.0625,-221.3125,0.0625,0.0625,195.25,14.5625,0.0625,0.9375,287.9330117051566,928.75,1.5909840237916273,0.41755343599310313,0.8132044648475052,0.268737248798993,0.12020086962190762,888.125,170.0625,547.25,-542.9375,0.0,0.0,610.6875,0.0,0.0,1.0,0.0
9.0,partially_active_dynamic,-0.0035244561198199097,0.021559632429580616,-0.028608544669220436,-0.048916152319583295,146.99150456917573,0.0,0.0,0.2145558385987511,0.26736791809884614,0.27734982882041703,0.0764618277009422,0.11904922081447823,0.11811391223155929,0.7176928814298249,0.2940017501392639,0.0,8.0,0.6294823483756655,942.875,0.7167748078958427,0.13080857995994571,0.6056681517197671,0.26012681244886626,0.11257036615865787,899.6875,171.0625,819.1875,-283.5625,0.0,0.0,285.6875,0.0,0.0,1.0,0.0,937.5,1.7353861963194066,0.4453597214580047,0.8297176111398827,0.16898486474863597,0.04035328924322652,787.1875,170.8125,523.25,-466.75,0.1875,0.4375,562.0,14.875,0.1875,0.8125,293.98300913835146
