episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale,transmission_retained_bits,transmission_mutual_information_ab,transmission_eve_information,transmission_reciprocity,transmission_raw_kdr,transmission_post_reconciliation_kdr,transmission_public_leakage_bits,transmission_finite_penalty_bits,transmission_conditional_min_entropy_bits,transmission_key_margin_bits,transmission_positive_key_margin_probability,transmission_reconciliation_success_probability,transmission_finite_length_secret_bits,transmission_final_key_bits,transmission_final_key_success_probability,transmission_zero_final_key_probability,transmission_secure_key_rate_bps,reflection_retained_bits,reflection_mutual_information_ab,reflection_eve_information,reflection_reciprocity,reflection_raw_kdr,reflection_post_reconciliation_kdr,reflection_public_leakage_bits,reflection_finite_penalty_bits,reflection_conditional_min_entropy_bits,reflection_key_margin_bits,reflection_positive_key_margin_probability,reflection_reconciliation_success_probability,reflection_finite_length_secret_bits,reflection_final_key_bits,reflection_final_key_success_probability,reflection_zero_final_key_probability,reflection_secure_key_rate_bps
0.0,partially_active_fixed,-0.030491800931425974,-0.009309677641727203,-0.05167392422112475,-0.07343599211733844,0.0,0.0,0.0,0.2426082795555424,0.2979426304980226,0.33263971872414744,0.09872981794451405,0.14507667658381268,0.1697674418604651,0.706972795053519,0.294000968746598,0.0,8.0,1.0,934.5,0.6438936189165624,0.10000444508173219,0.5741201788526895,0.3025233271860113,0.15091535465039427,902.75,170.5,840.3125,-264.9375,0.0,0.0,241.5,0.0,0.0,1.0,0.0,928.1875,1.7840791568561434,0.39771924918025653,0.8398254112543485,0.18269323192507353,0.046544281238633814,813.0,169.75,571.375,-443.375,0.0,0.375,652.125,0.0,0.0,1.0,0.0
1.0,partially_active_fixed,-0.09730387670435359,-0.07045042239764382,-0.12415733101106337,-0.14408083867808696,0.0,0.0,0.0,0.310128962733859,0.38100753572473356,0.41847262214909275,0.16377268628940367,0.23083647869470697,0.2736288221582339,0.5700705427980429,0.29400049590322946,0.0,8.0,0.19678118006180956,936.4375,0.4276481964812383,0.10874150240364733,0.47580147624971336,0.31161343695645016,0.1639863039836713,887.3125,170.625,834.625,-255.3125,0.0,0.0625,78.25,0.0,0.0,1.0,0.0,939.125,0.9468594670704339,0.3160402357189481,0.6643396093463727,0.30864448851126774,0.16355906859513597,881.1875,170.8125,641.5,-442.5,0.0,0.0625,286.3125,0.0,0.0,1.0,0.0
2.0,partially_active_fixed,-0.09420601646601612,-0.06828455548203985,-0.12012747744999237,-0.1393544413937995,0.0,0.0,0.0,0.29979885511911974,0.3537354802244025,0.36971279814730296,0.15045245041608435,0.20247021950866484,0.21417583717903205,0.5550751939978611,0.294001667220522,0.0,8.0,1.0,939.0625,0.8058337663496296,0.14822316842128075,0.6307553863992008,0.25572758669683826,0.10536174797395621,905.25,170.9375,799.3125,-308.875,0.0,0.0625,285.0,0.0,0.0,1.0,0.0,941.9375,0.49071749439076545,0.11567190385539196,0.4793950015965214,0.34387012354140123,0.19554315285821253,901.5,171.25,832.4375,-272.3125,0.0,0.0,131.5625,0.0,0.0,1.0,0.0
3.0,partially_active_fixed,-0.15761933484464194,-0.12911449092663108,-0.1861241787626528,-0.20592857029946232,0.0,0.0,0.0,0.35513162597513953,0.4185231684072321,0.43029452760919884,0.2062804094177301,0.26716003634385854,0.2865057609187528,0.3892569380312934,0.29400065545319987,0.0,8.0,0.3524060794550836,943.875,0.34642147388147415,0.10721618560005891,0.42759236715846616,0.3320516089101285,0.1867924410693529,889.625,171.25,842.625,-250.25,0.0,0.0,64.125,0.0,0.0,1.0,0.0,939.6875,0.2622717464183723,0.09281418184512527,0.35092150890412066,0.37821164304015054,0.22576837776610728,918.8125,170.875,852.25,-269.4375,0.0,0.0,54.875,0.0,0.0,1.0,0.0
4.0,partially_active_fixed,-0.06834003572604849,-0.0366103599814674,-0.1000697114706296,-0.1007141374628208,0.0,0.0,0.0,0.28998697493128356,0.3778557057322954,0.3639860875678451,0.14851971003972414,0.23306712295172213,0.21635612681218913,0.6889161339764627,0.29400099311118155,0.0,8.0,0.28486786385519736,942.9375,0.5557944531388016,0.11813345412869664,0.5097556105202883,0.31923193420564444,0.1749623536304163,884.5625,171.1875,831.125,-256.625,0.0,0.0,143.75,0.0,0.0,1.0,0.0,935.625,2.0295847682836627,0.4642945635505148,0.8680766574326371,0.2607420156569227,0.12207706644903203,852.875,170.5,520.875,-534.5,0.0,0.0625,678.9375,0.0,0.0,1.0,0.0
5.0,partially_active_fixed,-0.10943336546766591,-0.08693536801484915,-0.1319313629204827,-0.14804322796834585,0.0,0.0,0.0,0.3169147801697111,0.3727638331279527,0.3827585109478432,0.1725306778139291,0.2255945889224811,0.23244617007347057,0.504610701280161,0.2940011818602583,0.0,8.0,0.908315865213293,941.375,0.27655122660017306,0.011976469686151885,0.37810941192281633,0.3586282372361492,0.21572311050500248,875.75,171.0625,929.5625,-149.25,0.0,0.0,55.625,0.0,0.0,1.0,0.0,936.0,0.8576111861517406,0.273323488994592,0.6311119906375058,0.2752013231032728,0.12933824512285574,880.25,170.5625,680.8125,-402.0,0.0,0.0625,249.0,0.0,0.0,1.0,0.0
6.0,partially_active_fixed,-0.0487262329440666,-0.024279761766251115,-0.07317270412188208,-0.08425101104515728,0.0,0.0,0.0,0.2546369879665844,0.309853513290839,0.3231381820016235,0.10673225136696374,0.15897552590956426,0.16842235603270767,0.6621941227453932,0.29400092332037553,0.0,8.0,0.4630101545839702,945.1875,0.7579588991255807,0.09268669646107819,0.6263653792127563,0.26734247016085955,0.11731866059512241,912.5,171.3125,857.0,-258.8125,0.0,0.0,331.9375,0.0,0.0,1.0,0.0,929.25,1.0555311169652803,0.676158055012231,0.6980228662780302,0.2419315057723093,0.09614584213880505,874.4375,169.9375,320.875,-755.5,0.0,0.0625,141.4375,0.0,0.0,1.0,0.0
7.0,partially_active_fixed,0.019751222193576633,0.04074962774378868,-0.0012471833566354146,-0.014196030601043269,94.16479533182846,0.0,0.0,0.19951264477428177,0.2518714327459438,0.2705763935758541,0.0689998296406106,0.11430646701290699,0.14072494669509594,0.8024480353208082,0.2940013646641493,0.0,8.0,0.8748566329534935,941.9375,1.2006240114038755,0.2075578498517834,0.7319671397189926,0.27911646848232197,0.12855200864482721,913.875,171.0625,746.1875,-370.75,0.0,0.0625,488.9375,0.0,0.0,1.0,0.0,922.4375,2.0933701800606404,0.33421305516204625,0.8729289309226239,0.11990882106624164,0.009447650636394007,684.9375,169.25,614.5,-271.6875,0.1875,0.75,721.1875,9.5625,0.1875,0.8125,188.32959066365692
8.0,partially_active_fixed,-0.1005034394795713,-0.0749128681033558,-0.12609401085578678,-0.17940423088138135,0.0,0.0,0.0,0.30387881620375695,0.35532110090956415,0.4045221852753305,0.1576621716538181,0.2118130754886237,0.259121501948282,0.5321334101228476,0.29400142026046844,0.0,8.0,0.6534485922567042,939.8125,0.5944579185612268,0.07833599852142327,0.5614449160416958,0.28288424984638627,0.1399207250836791,879.0,170.875,865.6875,-216.1875,0.0,0.0,211.3125,0.0,0.0,1.0,0.0,935.0625,0.5068266801435457,0.011025800127978047,0.5028219042039994,0.32487338256112763,0.17540361822395714,900.6875,170.5,924.375,-178.8125,0.0,0.0625,215.8125,0.0,0.0,1.0,0.0
9.0,partially_active_fixed,-0.034208513109719584,-0.004717623418742586,-0.06369940280069658,-0.08335485378341187,91.90632216805163,0.0,0.0,0.25984456769077147,0.333075832226144,0.3551288250328106,0.11736177387975608,0.1886604468401285,0.20813243996223896,0.7270708041370048,0.29400132617562974,0.0,8.0,0.7067714727670396,939.8125,0.8034523812727989,0.084199162860573,0.6288787250304839,0.2750824111753274,0.12423193402809239,906.75,170.8125,860.25,-249.3125,0.0,0.0,356.625,0.0,0.0,1.0,0.0,933.5,1.6851334668859015,0.3745435107532532,0.8252628832435256,0.2446067242062156,0.11049161373141975,828.625,170.125,582.8125,-447.9375,0.0625,0.1875,632.4375,9.3125,0.0625,0.9375,183.81264433610326
