episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale,transmission_retained_bits,transmission_mutual_information_ab,transmission_eve_information,transmission_reciprocity,transmission_raw_kdr,transmission_post_reconciliation_kdr,transmission_public_leakage_bits,transmission_finite_penalty_bits,transmission_conditional_min_entropy_bits,transmission_key_margin_bits,transmission_positive_key_margin_probability,transmission_reconciliation_success_probability,transmission_finite_length_secret_bits,transmission_final_key_bits,transmission_final_key_success_probability,transmission_zero_final_key_probability,transmission_secure_key_rate_bps,reflection_retained_bits,reflection_mutual_information_ab,reflection_eve_information,reflection_reciprocity,reflection_raw_kdr,reflection_post_reconciliation_kdr,reflection_public_leakage_bits,reflection_finite_penalty_bits,reflection_conditional_min_entropy_bits,reflection_key_margin_bits,reflection_positive_key_margin_probability,reflection_reconciliation_success_probability,reflection_finite_length_secret_bits,reflection_final_key_bits,reflection_final_key_success_probability,reflection_zero_final_key_probability,reflection_secure_key_rate_bps
0.0,passive,-0.05340803520540042,-0.03285327400879007,-0.07396279640201077,-0.07959712490822582,106.56489001024994,0.0,0.0,0.2840424848930528,0.33347329348689025,0.344891216948481,0.14267381603917034,0.17669655869488318,0.1800006991947607,0.5835573971835568,0.18200000000000002,0.0,0.0,1.0,947.5625,0.1487671581742318,0.05145982375383758,0.3020067460371051,0.4025060392571186,0.2529205450205178,912.5,171.5625,898.5,-217.5625,0.0,0.0,7.0,0.0,0.0,1.0,0.0,915.5,2.005843375935948,0.2948452025451045,0.8651080483300084,0.16557893052898703,0.032427087057822886,785.125,168.5,644.875,-340.75,0.0625,0.3125,708.25,10.8125,0.0625,0.9375,213.12978002049988
1.0,passive,-0.0960699089280249,-0.08047852398163435,-0.11166129387441545,-0.12326262323517169,0.0,0.0,0.0,0.33058839579508836,0.3681238779613028,0.39424780356748423,0.17957612372906473,0.21471064791284838,0.23761590717508801,0.5150783695795491,0.18200000000000002,0.0,0.0,1.0,939.6875,0.1895175735595902,0.06811944422844388,0.3211530340649219,0.39912943688188157,0.25006224748819783,905.875,170.8125,875.0625,-233.625,0.0,0.0,20.9375,0.0,0.0,1.0,0.0,938.625,1.060973815770637,0.28351121151598013,0.7090037050941764,0.26204735470829515,0.1090899999699316,913.0625,170.875,672.0625,-443.875,0.0,0.0625,381.625,0.0,0.0,1.0,0.0
2.0,passive,-0.11704995738521554,-0.09403335979856423,-0.14006655497186685,-0.17442597650777697,27.050954160928587,0.0,0.0,0.33603922098164996,0.38645102704679934,0.43196818013280747,0.18831842470055832,0.2334864808677309,0.2830619880675498,0.44740577638083934,0.18200000000000002,0.0,0.0,1.0,944.3125,0.11698109134032153,0.08462030348798928,0.2626172577129443,0.4058600186890138,0.25650590186580335,902.5625,171.25,863.9375,-241.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,938.0625,0.8590890773376905,0.19779008471480264,0.6321942950487345,0.2662184232742861,0.12013094753531334,883.875,170.625,751.8125,-334.6875,0.0625,0.1875,277.5,2.75,0.0625,0.9375,54.101908321857174
3.0,passive,-0.02663914127449874,0.02396820198491359,-0.07724648453391107,-0.11571591340813854,268.3287708089149,0.0,0.0,0.25585013762656017,0.3679684252125625,0.41742075494305286,0.12033304819462433,0.22219428640075956,0.2708558925266035,0.716301968586511,0.18200000000000002,0.0,0.0,1.0,939.1875,0.8811761118047335,0.2331576010952766,0.6584114744361096,0.30302520940949046,0.15911279964322417,881.5625,170.875,719.9375,-364.5,0.0,0.0,263.375,0.0,0.0,1.0,0.0,938.9375,1.445271244020715,0.04754058451616362,0.7741924627369123,0.20867506584362994,0.08155329674602452,793.125,170.8125,893.6875,-102.25,0.1875,0.4375,636.3125,27.1875,0.1875,0.8125,536.6575416178298
4.0,passive,-0.0017049266606929629,0.022073359925491236,-0.025483213246877162,-0.05198188750601564,83.1318025076067,0.0,0.0,0.22977179749473797,0.2957576316968844,0.3300197829150108,0.08987910209862623,0.14867666437947077,0.1893151175906307,0.7342303921104978,0.18200000000000002,0.0,0.0,1.0,941.4375,0.676002582989963,0.1373720384689715,0.5986656425587616,0.28825287718170217,0.13736632013922379,910.25,170.9375,811.125,-302.0625,0.0,0.0,215.25,0.0,0.0,1.0,0.0,928.5625,2.045077411025507,0.7159187465548883,0.8697951416622338,0.17129071780777377,0.04239188405802869,780.3125,169.875,419.125,-563.0625,0.125,0.3125,587.4375,8.4375,0.125,0.875,166.2636050152134
5.0,passive,-0.0016206185172753691,0.02039395400323061,-0.023635191037781347,-0.054454165900321524,0.0,0.0,0.0,0.23186841312975984,0.3016581522795062,0.35280749295907987,0.09161928852934878,0.15485584845783226,0.20591555629186092,0.7726408028405527,0.18200000000000002,0.0,0.0,1.0,934.6875,0.944600014526457,0.09149476960287817,0.6750521354362102,0.25879516406758307,0.11559325901770796,869.9375,170.5,848.4375,-224.0,0.0,0.125,462.8125,0.0,0.0,1.0,0.0,925.4375,2.0555593296605563,0.7489938421250246,0.870229470244895,0.20494166219193663,0.06764531804098958,837.625,169.5,384.25,-654.875,0.0,0.1875,560.8125,0.0,0.0,1.0,0.0
6.0,passive,-0.06055138269830981,-0.029362956286901082,-0.09173980910971853,-0.10830367472376783,120.22076231060606,0.0,0.0,0.2819622985088168,0.3404046180897162,0.3630745205605753,0.13177111784364312,0.19222705069068569,0.21062603724875528,0.5889805836822336,0.18200000000000002,0.0,0.0,1.0,942.75,0.6688722787278079,0.09792033220645957,0.586493054759093,0.28799252923951757,0.13985667379502809,894.25,171.1875,850.0,-247.4375,0.0625,0.0625,264.5625,12.1875,0.0625,0.9375,240.44152462121212,938.75,0.6607356549168921,0.16952049394489963,0.5914681126053744,0.2759320677781161,0.12368556189225817,914.9375,170.875,779.8125,-338.0,0.0,0.0,227.1875,0.0,0.0,1.0,0.0
7.0,passive,-0.041122820085199796,-0.02515817745825714,-0.057087462712142455,-0.06012609934550757,19.699387349053442,0.0,0.0,0.26300256552733364,0.3034933704761396,0.30763846622032864,0.1209639620695397,0.15231498773162006,0.15910040218156649,0.6128658328525217,0.18200000000000002,0.0,0.0,1.0,939.875,0.294426627343046,0.13306529135774428,0.415179397542955,0.33981956819329534,0.19231277975985073,894.5,170.8125,814.4375,-282.875,0.0,0.0,34.1875,0.0,0.0,1.0,0.0,917.375,1.573331967505216,0.29550664829114315,0.8105522681620885,0.18618556286137197,0.0496151443792287,827.5625,168.8125,648.75,-379.625,0.0625,0.125,647.9375,2.0,0.0625,0.9375,39.398774698106884
8.0,passive,-0.11388033842418144,-0.09829313204372572,-0.12946754480463715,-0.13955792397219013,0.0,0.0,0.0,0.34542993334385264,0.3776342475131157,0.388461864085803,0.19438262466051942,0.22513693907499582,0.24225228476835947,0.463109173141003,0.18200000000000002,0.0,0.0,1.0,942.0625,0.11025486248340009,0.05390973388992092,0.25683630333087404,0.4032411974342115,0.2519468096182421,911.875,171.0,890.5625,-224.3125,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,939.125,0.9024108896163794,0.42557231509943405,0.6693820429511321,0.2876186692534938,0.1368184397027966,906.875,170.875,554.3125,-555.4375,0.0,0.0,209.8125,0.0,0.0,1.0,0.0
9.0,passive,-0.05917599718457688,-0.018525794856322986,-0.09982619951283078,-0.11435035828631775,381.6976304093811,0.0,0.0,0.29685988231182037,0.36401744753448706,0.4001565020092398,0.15696475096926632,0.21513358438501848,0.24749186736283862,0.5496719162932455,0.18200000000000002,0.0,0.0,1.0,942.4375,0.13542344370509837,0.019469007287767993,0.26784703557356204,0.3927989451318153,0.2452768685733133,898.75,171.0625,923.6875,-178.125,0.0,0.0,15.6875,0.0,0.0,1.0,0.0,925.3125,1.7362987535379164,0.05155468751065656,0.8314967970129289,0.20092081949182541,0.06865263336521936,797.9375,169.5625,877.0,-122.5,0.25,0.25,718.5625,38.6875,0.25,0.75,763.3952608187622
