nmse_db,scenario,num_trials,mean_weighted_sum_rate,std_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_ris_output_power,maximum_ris_output_power,mean_power_violation,maximum_power_violation,power_violation_probability,mean_beta_transmission,mean_active_amplitude,mean_requested_active_elements,mean_effective_active_elements,minimum_effective_active_elements,maximum_effective_active_elements,mean_disabled_active_elements,active_reduction_probability,passive_fallback_probability
-30.0,partial_active_fixed_beta,100,14.030463465293872,0.21303247733573988,14.026485025868869,14.034441904718873,29.254039217248405,30.030026028707063,0.0,0.0,0.0,0.5,1.4247640466080869,8.0,8.0,8,8,0.0,0.0,0.0
-30.0,partial_active_optimized_beta,100,14.032008670128985,0.21332850160562067,14.031094179701084,14.032923160556885,29.254039217248405,30.030026028707063,0.0,0.0,0.0,0.5035,1.4247640466080869,8.0,8.0,8,8,0.0,0.0,0.0
-30.0,passive_phase_aligned,100,15.317431038866863,0.21925718341551262,15.295838584911529,15.339023492822202,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-30.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-25.0,partial_active_fixed_beta,100,14.067393343768005,0.21286711742115186,14.059548629281778,14.075238058254234,25.61651727443413,26.904224021696965,0.0,0.0,0.0,0.5,1.3346651251748824,8.0,8.0,8,8,0.0,0.0,0.0
-25.0,partial_active_optimized_beta,100,14.068877402935419,0.21311873867388265,14.065750233717692,14.072004572153153,25.61651727443413,26.904224021696965,0.0,0.0,0.0,0.505,1.3346651251748824,8.0,8.0,8,8,0.0,0.0,0.0
-25.0,passive_phase_aligned,100,15.312913241098384,0.2193538164708428,15.291299918385112,15.33452656381165,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-25.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-20.0,partial_active_fixed_beta,100,14.111645897727323,0.20719353171721186,14.09888716180988,14.124404633644767,20.494498984092928,22.52424414688198,0.0,0.0,0.0,0.5,1.1989551181856737,8.0,7.98,7,8,0.02,0.02,0.0
-20.0,partial_active_optimized_beta,100,14.112951396362808,0.20733758642329436,14.105024636987812,14.120878155737799,20.494498984092928,22.52424414688198,0.0,0.0,0.0,0.5045,1.1989551181856737,8.0,7.98,7,8,0.02,0.02,0.0
-20.0,passive_phase_aligned,100,15.29871817183695,0.22004121370556048,15.276973137005509,15.320463206668391,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-20.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-15.0,partial_active_fixed_beta,100,14.200127089604157,0.23117822342093056,14.185407013071709,14.2148471661366,14.295209754702569,16.495126895253186,0.0,0.0,0.0,0.5,1.0433004527426901,8.0,7.32,4,8,0.68,0.47,0.0
-15.0,partial_active_optimized_beta,100,14.201473542168927,0.23148482470494383,14.192084549107747,14.210862535230097,14.295209754702569,16.495126895253186,0.0,0.0,0.0,0.5035000000000001,1.0433004527426901,8.0,7.32,4,8,0.68,0.47,0.0
-15.0,passive_phase_aligned,100,15.254569332499543,0.22167956795498137,15.232297017664598,15.276841647334486,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-15.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-10.0,partial_active_fixed_beta,100,14.479211819861609,0.26305652418021297,14.47464976551312,14.483773874210096,7.926088869650096,10.753534179892249,0.0,0.0,0.0,0.5,1.0719360817222723,8.0,3.53,2,6,4.47,1.0,0.0
-10.0,partial_active_optimized_beta,100,14.480394348735238,0.2631335352940913,14.481374291353767,14.479414406116712,7.926088869650096,10.753534179892249,0.0,0.0,0.0,0.503,1.0719360817222723,8.0,3.53,2,6,4.47,1.0,0.0
