nmse_db,scenario,num_trials,mean_weighted_sum_rate,std_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_ris_output_power,maximum_ris_output_power,mean_power_violation,maximum_power_violation,power_violation_probability,mean_beta_transmission,mean_active_amplitude,mean_requested_active_elements,mean_effective_active_elements,minimum_effective_active_elements,maximum_effective_active_elements,mean_disabled_active_elements,active_reduction_probability,passive_fallback_probability
-30.0,partial_active_fixed_beta,100,14.03343460107734,0.21140992095958513,14.029490245019549,14.037378957135134,29.32653134585867,30.269021304089186,0.0,0.0,0.0,0.5,1.4072262217520397,8.0,8.0,8,8,0.0,0.0,0.0
-30.0,partial_active_optimized_beta,100,14.034978761403176,0.21170522460289667,14.034577500388052,14.035380022418305,29.32653134585867,30.269021304089186,0.0,0.0,0.0,0.504,1.4072262217520397,8.0,8.0,8,8,0.0,0.0,0.0
-30.0,passive_phase_aligned,100,15.317431038866863,0.21925718341551262,15.295838584911529,15.339023492822202,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-30.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-25.0,partial_active_fixed_beta,100,14.069473256034634,0.211853389114937,14.062094833037966,14.076851679031305,25.707468875057472,26.851500663580445,0.0,0.0,0.0,0.5,1.321835351588441,8.0,8.0,8,8,0.0,0.0,0.0
-25.0,partial_active_optimized_beta,100,14.070986094411166,0.2120914598464853,14.067887781983247,14.07408440683908,25.707468875057472,26.851500663580445,0.0,0.0,0.0,0.5045000000000001,1.321835351588441,8.0,8.0,8,8,0.0,0.0,0.0
-25.0,passive_phase_aligned,100,15.312913241098384,0.2193538164708428,15.291299918385112,15.33452656381165,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-25.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-20.0,partial_active_fixed_beta,100,14.113050979903807,0.20733732994077453,14.101095587588379,14.125006372219241,20.55559828268139,22.449632157829612,0.0,0.0,0.0,0.5,1.192724688415768,8.0,7.98,7,8,0.02,0.02,0.0
-20.0,partial_active_optimized_beta,100,14.11437557232616,0.2074288186107023,14.10727958177889,14.121471562873431,20.55559828268139,22.449632157829612,0.0,0.0,0.0,0.5045000000000001,1.192724688415768,8.0,7.98,7,8,0.02,0.02,0.0
-20.0,passive_phase_aligned,100,15.29871817183695,0.22004121370556048,15.276973137005509,15.320463206668391,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-20.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-15.0,partial_active_fixed_beta,100,14.200386547975524,0.23133357881007693,14.186022787076858,14.214750308874185,14.300727510080016,16.51287707580203,0.0,0.0,0.0,0.5,1.0422994483725134,8.0,7.32,4,8,0.68,0.47,0.0
