repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,weighted_operational_bound_bits_per_sample,transmission_pre_reconciliation_entropy_bound_bits,reflection_pre_reconciliation_entropy_bound_bits,transmission_operational_secret_bit_bound,reflection_operational_secret_bit_bound,aggregate_operational_secret_bit_bound,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.043715286736292,0.001996942806790342,8.041718343929503,6.848666635445641,0.585925925925926,10174,9536,798,784,1582,0.9651851851851851,0.96,0.004604758250191865,0.006944444444444444,0.0,0.0,6,9,409,416,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,1500,16,0.25,4,1.5,0.0,0.1,0.2,0.0,0.01,0.5,0.05,alice,6.240388136935017,0.0020520227849231644,6.238336114150094,5.135450763156297,0.5466666666666666,7271,7569,747,729,1476,0.9674074074074074,0.9488888888888889,0.01761102603369066,0.01717408274785324,0.0,0.0,23,22,463,456,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,1500,16,0.25,4,1.5,0.0,0.2,0.2,0.0,0.01,0.5,0.05,alice,4.624326567949684,0.0021487009802174236,4.622177866969466,3.6000955944249355,0.47,4956,5520,657,612,1269,0.9688888888888889,0.9555555555555556,0.0382262996941896,0.044186046511627906,0.0,0.0,50,57,555,582,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,1500,16,0.25,4,1.5,0.0,0.5,0.2,0.0,0.01,0.5,0.05,alice,2.2363119826386324,0.0025459949393086554,2.233765987699324,1.3310844444203467,0.15703703703703703,1702,2326,161,263,424,0.9585185185185185,0.9577777777777777,0.12828438948995363,0.10750193348801237,0.0,0.0,166,139,1037,934,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.043715286736292,0.001996942806790342,8.041718343929503,6.848666635445641,0.585925925925926,10174,9536,798,784,1582,0.9651851851851851,0.96,0.004604758250191865,0.006944444444444444,0.0,0.0,6,9,409,416,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.5,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.5,0.01,0.5,0.05,alice,8.043715286736292,0.3502262097291506,7.693489077007142,6.500437368523281,0.585925925925926,9625,9144,798,784,1582,0.9651851851851851,0.96,0.004604758250191865,0.006944444444444444,0.0,0.0,6,9,409,416,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=1.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,1.0,0.01,0.5,0.05,alice,8.043715286736292,0.8412493487009381,7.202465938035354,6.009414229551494,0.585925925925926,8789,8654,798,784,1582,0.9651851851851851,0.96,0.004604758250191865,0.006944444444444444,0.0,0.0,6,9,409,416,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.0,alice,8.043715286736292,0.001996942806790342,8.041718343929503,6.848666635445641,0.5803703703703704,10174,9536,808,759,1567,1.0,1.0,0.00962962962962963,0.02074074074074074,0.0,0.0,13,28,446,495,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.05,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.043715286736292,0.001996942806790342,8.041718343929503,6.848666635445641,0.585925925925926,10174,9536,798,784,1582,0.9651851851851851,0.96,0.004604758250191865,0.006944444444444444,0.0,0.0,6,9,409,416,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.15,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.15,alice,8.043715286736292,0.001996942806790342,8.041718343929503,6.848666635445641,0.5440740740740742,10174,9536,746,723,1469,0.8903703703703704,0.8681481481481481,0.0,0.0,0.0,0.0,0,0,360,353,128,128,256,True,True,True
